"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21859","WILLIAMS RESOLVE","blue","pryyme",1,3,6,7,1497,3,7,0.757746002606586
"21860","WYLDE","orange","Crispy",6,3,5,22,2375,1,6,1.59399404255685
"21861","WYLDE","orange","accro",3,2,8,15,1675,7,8,1.10749153514093
"21862","WYLDE","orange","simas",2,5,4,18,1589,12,2,1.16081374137101
"21863","THE BRICKS","blue","Speed",5,3,1,13,1271,1,4,1.44290663174718
"21864","THE BRICKS","blue","Rxii",7,1,0,13,1564,5,0,1.46694100432883
"21865","THE BRICKS","blue","Growlii",1,6,10,4,1426,3,4,1.52113994683631
"21866","SK GAMING","orange","Ekon",2,1,4,6,964,4,1,0.793517234688131
"21867","SK GAMING","orange","Kérian",1,1,7,12,1079,2,2,0.839464390787601
"21868","SK GAMING","orange","fruity",0,1,4,5,719,2,6,0.417055383787504
"21869","SOLARY","blue","oaly.",4,2,8,18,1926,9,6,1.02777761837892
"21870","SOLARY","blue","ThO.",3,3,10,31,2371,5,4,1.15427052078759
"21871","SOLARY","blue","Mikeboy",4,1,12,14,2331,13,5,1.03253184116474
"21872","AOGIRI","orange","Oscillon",5,1,13,15,2244,7,13,1.14778091034418
"21873","AOGIRI","orange","VKSailen",3,2,14,21,2377,5,3,1.103255742053
"21874","AOGIRI","orange","Stizzy",1,3,20,10,2338,3,11,0.997221688483666
"21875","00 NATION","blue","hibbs",2,4,1,9,1071,4,4,1.14260682847064
"21876","00 NATION","blue","Breezi",3,2,6,10,1329,3,5,1.27793924914683
"21877","00 NATION","blue","FlamE",2,1,3,10,1039,6,6,0.869957360487743
"21878","NATUS VINCERE","orange","Tigreee",1,1,10,3,1441,1,3,0.916949885986209
"21879","NATUS VINCERE","orange","LuiisP",2,2,4,8,1070,10,5,1.10857977881761
"21880","NATUS VINCERE","orange","virtuoso",1,1,3,7,853,4,5,0.653268982225446
"21881","THE BRICKS","blue","Rxii",4,4,2,12,1332,3,6,1.49337328913308
"21882","THE BRICKS","blue","Speed",3,1,6,9,1176,4,4,1.08359036462142
"21883","THE BRICKS","blue","Growlii",4,4,4,11,1299,4,2,1.5145899468554
"21884","WILLIAMS RESOLVE","orange","Stake",3,0,3,8,1117,5,5,1.03317081549533
"21885","WILLIAMS RESOLVE","orange","saizen",1,0,5,8,841,4,3,0.607506482254235
"21886","WILLIAMS RESOLVE","orange","pryyme",0,3,7,4,1190,3,3,0.903905983235438
"21887","LUMINOSITY GAMING","blue","Tox",5,1,6,8,1661,5,7,0.998810600045042
"21888","LUMINOSITY GAMING","blue","eekso",0,7,10,11,1646,8,8,0.91477906994065
"21889","LUMINOSITY GAMING","blue","AtomiK",7,2,8,11,1981,5,4,1.5532638065208
"21890","MISFITS GAMING","orange","Kash",5,4,6,18,1917,5,7,1.20714885621847
"21891","MISFITS GAMING","orange","Mittaen",5,4,3,17,1721,11,3,1.19937778445874
"21892","MISFITS GAMING","orange","arju",3,3,7,10,1497,3,8,0.929886654264139
